0, 31, 32, 33, 34, 37, 38, 41, 44, 45, 47, 51, 52
1, 23
2, 50
2, 45
2, 7, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30
2, 24
2, 35
2, 5, 51
2, 23
3, 40
3, 24
3, 35
3, 47
4, 14, 53
4, 8
4, 35
4, 7
4, 37
5, 21
5, 23
5, 55
5, 52
5, 6
5, 47
5, 24
6, 27
6, 45
6, 47
6, 17, 54
6, 40
6, 24
6, 10
6, 23
6, 55
7, 16
7, 14, 23
8, 9
8, 16
9, 35
10, 52
10, 45
10, 38
11, 23
12, 42
12, 30
13, 37
13, 46
13, 55
13, 52, 53
13, 50
14, 55
15, 47
15, 17
16, 47
16, 43
17, 37
18, 36
18, 47
18, 24
20, 47, 50
20, 45
22, 46
22, 27
22, 47
23, 39
24, 35
24, 37
24, 48
24, 47
27, 47
27, 35
27, 37
28, 47
30, 31
30, 51
31, 35
31, 37
32, 50
32, 45
32, 47
33, 35
33, 52
35, 51
35, 45
35, 47
35, 40
35, 49
36, 44
36, 37, 44
37, 51
37, 47
38, 46
38, 47
38, 40
42, 45
43, 53
44, 47
45, 47
45, 51
46, 47
47, 53
47, 48
47, 51
48, 51
48, 53
50, 56
50, 51
53, 55
