0, 21
1, 88
2, 52
2, 23
3, 107
4, 40
4, 6
5, 21
6, 57
7, 21
8, 192
9, 34, 119
10, 166
11, 21
12, 64
13, 157
14, 19
14, 156
14, 106, 149
14, 46
14, 75
14, 61
14, 189
14, 20
15, 135
15, 41
15, 45
15, 150
15, 152
16, 57
17, 61
18, 21
20, 168
20, 172
20, 192
20, 146
20, 194
21, 126
21, 80
21, 144
21, 101
21, 48
21, 112
21, 105
21, 50
21, 107
21, 116
21, 109
21, 148
21, 102
21, 111
21, 175
21, 77
21, 150
21, 95
21, 49
21, 79
21, 143
21, 88
21, 191
21, 163
21, 129
21, 138
21, 83
21, 147
21, 156
21, 94
21, 188
21, 87
21, 117
22, 39
22, 107
23, 50
24, 107
25, 88
26, 70
26, 118
26, 51
27, 51
28, 107
29, 161
30, 107
31, 161
32, 161
33, 161
35, 86
36, 76
37, 51
38, 119
42, 168
43, 107
44, 51
44, 128
45, 96
45, 160, 166
45, 54
45, 186
45, 154
47, 88
48, 86
50, 107
50, 113
50, 119
50, 59
51, 136
51, 67
51, 151
53, 61
55, 107
56, 61
57, 66
57, 169
57, 123
57, 190
58, 182
60, 191
61, 180
61, 134
61, 174
61, 67
61, 82
61, 139
61, 84
61, 98
62, 88
63, 88
64, 73
65, 159
65, 119
66, 183
66, 193
66, 168
67, 124
68, 164
68, 166
69, 107
70, 166
71, 161
72, 126
73, 160
74, 191
76, 129
78, 88, 120
81, 126
85, 166
88, 166
88, 89
88, 155
88, 130
88, 107
89, 196
90, 161
91, 149
92, 107
93, 161
95, 165
97, 130
99, 166
100, 189
101, 103
101, 137
102, 177
103, 161
104, 137
107, 195
107, 110, 141
107, 185
107, 150
108, 187
114, 161
115, 165
116, 149
119, 157
119, 150
119, 131
119, 167
121, 149
122, 161
123, 125
124, 136
127, 150
128, 173
130, 142
132, 189
133, 168
136, 140
137, 166
137, 161
145, 161
149, 168
153, 166
156, 179
158, 189
161, 187
161, 183
161, 178
161, 171
162, 168
164, 189
166, 176
166, 188
170, 189
181, 191
182, 193
184, 187
